date,meal,hostel_population,reservation_count,cancelled_count,final_expected_demand,attendance_count,reserved_not_attended,food_prepared_portions,food_served_portions,unused_prepared_portions,waste_kg,baseline_food_prepared,baseline_waste_kg,special_day,notes
2026-09-12,Breakfast,1000,680,20,660,638,22,,,,,,,NO,"Weekend morning schedule"
2026-09-12,Lunch,1000,810,25,785,760,25,,,,,,,NO,"Weekend regular lunch"
2026-09-12,Dinner,1000,790,22,768,742,26,,,,,,,NO,"Weekend dinner service"
2026-09-13,Breakfast,1000,650,18,632,610,22,,,,,,,NO,"Sunday special breakfast"
2026-09-13,Lunch,1000,830,20,810,785,25,,,,,,,NO,"Sunday lunch"
2026-09-13,Dinner,1000,780,15,765,740,25,,,,,,,NO,"Sunday dinner"
2026-09-14,Breakfast,1000,710,15,695,672,23,,,,,,,NO,"Weekday start"
2026-09-14,Lunch,1000,860,30,830,804,26,,,,,,,NO,"Regular weekday lunch"
2026-09-14,Dinner,1000,820,25,795,768,27,,,,,,,NO,"Regular weekday dinner"
2026-09-15,Breakfast,1000,705,12,693,671,22,,,,,,,NO,"QA verification window"
2026-09-15,Lunch,1000,850,28,822,795,27,,,,,,,NO,"QA verification window"
2026-09-15,Dinner,1000,805,20,785,758,27,,,,,,,NO,"QA verification window"
2026-09-16,Breakfast,1000,695,14,681,659,22,,,,,,,NO,"Midweek breakfast"
2026-09-16,Lunch,1000,840,26,814,788,26,,,,,,,NO,"Midweek lunch"
2026-09-16,Dinner,1000,815,22,793,766,27,,,,,,,NO,"Midweek dinner"
2026-09-17,Breakfast,1000,700,16,684,662,22,,,,,,,NO,"9.2.0 rollout monitoring"
2026-09-17,Lunch,1000,855,32,823,796,27,,,,,,,NO,"9.2.0 rollout monitoring"
2026-09-17,Dinner,1000,810,24,786,761,25,,,,,,,NO,"9.2.0 rollout monitoring"
2026-09-18,Breakfast,1000,720,28,692,670,22,,,,,,,NO,"Stage 6 operational monitoring"
2026-09-18,Lunch,1000,845,35,810,786,24,,,,,,,NO,"Kitchen preparation tracking logged"
2026-09-18,Dinner,1000,815,30,785,760,25,,,,,,,NO,"Kitchen preparation tracking logged"
